No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Category 1,Category 2 ,Category 3,Rating,Google Reviews (Count),Source,Child Entry,Adults Entry,Normal Hotel Price
228,Plataran Ubud Hotel and Spa,"Jl. Hanoman, Pengosekan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Gianyar,Gianyar,-8.5210548,115.2637397,Stays,Premium Hotel,Countryside Hotel,4.7,1044,https://maps.google.com/?cid=14500484078380853405,,,"Rp2,286,900"
229,Maison Aurelia Sanur - by Préférence,"Jl. Danau Tamblingan No.140, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Denpasar Selatan,Denpasar,-8.695537,115.263549,Stays,Premium Hotel,City Hotel,4.7,709,https://maps.google.com/?cid=12492187884619472358,,,"Rp2,840,000"
230,Grand Barong Resort Bali,"Jl. Poppies II, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7174908,115.1723479,Stays,Standard Hotel,City Hotel,4.1,1028,https://maps.google.com/?cid=11425026983350831467,,,"Rp855,000"
231,Signature Seminyak Smart Hotel,"Jl. Mertanadi No.74, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.6767195,115.1673117,Stays,Standard Hotel,City Hotel,4.2,454,https://maps.google.com/?cid=9979754457869308240,,,"Rp558,000"
232,Prana Villa Jimbaran,"Komplek Mimpi Resort, Jl. Bukit Permai No.Kav 9, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.7840638,115.1574549,Stays,Standard Hotel,Beachside Hotel,4.5,128,https://maps.google.com/?cid=6380131208890979198,,,"Rp534,843"
233,The Crystal Luxury Bay Resort Nusa Dua - Bali,"Jl. Bypass Ngurah Rai Jl. Puri Mumbul Permai No.88, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta Selatan,Badung,-8.786976,115.2074085,Stays,Premium Hotel,Beachside Hotel,4.1,1384,https://maps.google.com/?cid=11146373352955005676,,,"Rp1,940,125"
234,The Sintesa Jimbaran Bali,"Jl. Kencana No.1, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.790739,115.158998,Stays,Standard Hotel,City Hotel,4.3,787,https://maps.google.com/?cid=11398126049663171941,,,"Rp764,716"
235,The Garcia Ubud Hotel and Resort,"Jl. Raya Silungan, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,-8.561549,115.2679856,Stays,Premium Hotel,Countryside Hotel,4.7,517,https://maps.google.com/?cid=11234131705398835820,,,"Rp4,418,582"
236,Amnaya Resort Nusa Dua,"Jl. Pratama No.87, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta Selatan,Badung,-8.7704486,115.2220281,Stays,High End Hotel,Beachside Hotel,4.8,1315,https://maps.google.com/?cid=15776658350657251113,,,"Rp9,339,574"
237,SOL by Meliá Kuta Bali,"Sol By Melia Kuta Bali, Kuta, Kec. Kuta, Kabupaten Badung, Bali, Indonesia",Kuta,Badung,-8.7246997,115.1720735,Stays,Standard Hotel,City Hotel,4,1,https://maps.google.com/?q=Sol+By+Melia+Kuta+Bali&ftid=0x2dd246a4ba5465df:0x9fae36029acc4292,,,"Rp1,150,569"
238,18 Suite Villa Loft,"Jl. Kartika Plaza Gg. Pudak Sari, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7323488,115.1686748,Stays,Standard Hotel,City Hotel,4.4,498,https://maps.google.com/?cid=6497480204968745330,,,"Rp1,133,334"
239,d’primahotel Seminyak,"Jl. Petitenget No.168, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta Utara,Badung,-8.6822054,115.154309,Stays,Standard Hotel,City Hotel,4.1,222,https://maps.google.com/?cid=14928304724864385438,,,"Rp972,000"
240,Asoka City Bali,"Jl. Kubu Anyar No.40, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7327232,115.1702152,Stays,Budget Hotel,City Hotel,4,540,https://maps.google.com/?cid=2256450885113280670,,,"Rp390,000"
241,OYO 3261 Hotel Ratu,"Jl. Yos Sudarso No.4, Dauh Puri, Kec. Denpasar Bar., Kota Denpasar, Bali 80210, Indonesia",Denpasar Barat,Denpasar,-8.667615,115.215964,Stays,Budget Hotel,City Hotel,3.8,102,https://maps.google.com/?cid=5613588749169531949,,,"Rp165,471"
242,Amnaya Resort Kuta,"Jl. Kartika Plaza Gg. Puspa Ayu No.99, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7299278,115.1700662,Stays,Premium Hotel,City Hotel,4.7,3471,https://maps.google.com/?cid=2273504861836080000,,,"Rp2,871,489"
243,Prime Plaza Suites Sanur – Bali,"Prime Plaza Suites, Jl. Bypass Ngurah Rai, Semawang, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Denpasar Selatan,Denpasar,-8.6938113,115.2589633,Stays,Premium Hotel,City Hotel,4.5,792,https://maps.google.com/?q=Prime+Plaza+Suites&ftid=0x2dd241b63949b179:0xd7f5294519594d62,,,"Rp1,741,300"
244,Yan's House Hotel,"Jl. Kartika Plaza No.2, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7265322,115.1703832,Stays,Premium Hotel,City Hotel,4.5,827,https://maps.google.com/?cid=17130255350870295767,,,"Rp2,975,000"
245,Candi Beach Resort and Spa,"Jl. Mendira, Sengkidu, Kec. Manggis, Kabupaten Karangasem, Bali 80871, Indonesia",Manggis,Karangasem,-8.5033793,115.5523133,Stays,Premium Hotel,Beachside Resort,4.6,1802,https://maps.google.com/?cid=2898279195298712249,,,"Rp3,970,800"
246,Artotel Haniman Ubud,"Jl. Jatayu, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,-8.5164226,115.2653935,Stays,Premium Hotel,Countryside Hotel,4.6,390,https://maps.google.com/?cid=3544052104109853325,,,"Rp1,887,717"
247,Segara Village Hotel,"Jl. Segara Ayu, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80030, Indonesia",Denpasar Selatan,Denpasar,-8.682798,115.2629147,Stays,Premium Hotel,Countryside Hotel,4.6,1857,https://maps.google.com/?cid=6760375934431652827,,,"Rp1,839,165"
248,Link Costel,"Jl. Pulau Sayang No.9B, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80114, Indonesia",Denpasar Barat,Denpasar,-8.680954,115.2058637,Stays,Budget Hotel,City Hotel,4.1,138,https://maps.google.com/?cid=10172429763346074111,,,"Rp333,335"
249,Sari Villa Ubud,"Jl. Raya Sanggingan No.88, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,-8.4990357,115.2529077,Stays,Standard Hotel,Villa,4.3,610,https://maps.google.com/?cid=16316946612622007831,,,"Rp999,999"
250,Dee Mansion,"Jl. Pura Demak IV No.57, Tegal Harum, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",Denpasar Barat,Denpasar,-8.6780142,115.1920671,Stays,Budget Hotel,City Hotel,4.2,472,https://maps.google.com/?cid=10872174687470977495,,,"Rp358,938"
251,Villa Ambara Bali,"Gg. sukun Perancak Street No.3, Tibubeneng, Canggu, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.6562681,115.1406191,Stays,High End Hotel,Boutique Villa,4.7,19,https://maps.google.com/?cid=7936364354677114054,,,"Rp6,496,875"
252,Puri Saron Seminyak,"Jl. Camplung Tanduk, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.6944808,115.1622136,Stays,Premium Hotel,Villa,4.2,936,https://maps.google.com/?cid=741554765130234226,,,"Rp2,880,000"
253,KajaNe Yangloni at Ubud Bali,"Jl. Cok Rai Pudak No.10, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,-8.5265342,115.2714684,Stays,Premium Hotel,Countryside Villa,4.5,318,https://maps.google.com/?cid=2452347951393928479,,,"Rp1,784,500"
254,The Leaf Jimbaran Luxury Villas,"Karang-Mas, Sejahtera Jl. Jepun No.81, Jimbaran, South Kuta, Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7981193,115.1498791,Stays,Premium Hotel,Boutique Villa,4.3,713,https://maps.google.com/?cid=9254825273441606556,,,"Rp4,725,000"
255,Black Penny Villas Ubud,"Jl. Raya Kedewatan, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,-8.4835381,115.2456125,Stays,High End Hotel,Countryside Villa,4.8,1235,https://maps.google.com/?cid=6253693630229494074,,,"Rp7,978,667"
256,Komaneka at Monkey Forest,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,-8.5125884,115.2613747,Stays,High End Hotel,Countryside Villa,4.8,321,https://maps.google.com/?cid=16265294541001092858,,,"Rp5,400,000"
257,Maya Ubud Resort & Spa,"Jl. Gn. Sari, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,-8.512816,115.2778314,Stays,Luxury Hotel,Countryside Resort,4.8,2312,https://maps.google.com/?cid=1758533405063269421,,,"Rp15,622,149"
258,The Ayu Kintamani Villa at Toya Devasya,"Central Batur, Kintamani, Bangli, Bali, Indonesia",Kintamani,Bangli,-8.2509476,115.3993597,Stays,Premium Hotel,Mountainview Villa,4.1,68,https://maps.google.com/?cid=2820999527478786630,,,"Rp2,905,000"
259,Radisson Blu Bali Uluwatu,"Jl. Pemutih Jl. Labuansait, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.8090744,115.1104224,Stays,Premium Hotel,Beachside Resort,4.6,970,https://maps.google.com/?cid=12647709250177851329,,,"Rp3,375,900"
260,The Sawah Villa,"Banjar Tengkulak, Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",Sukawati,Gianyar,-8.5481673,115.2829398,Stays,Standard Hotel,Countryside Villa,4.4,141,https://maps.google.com/?cid=5521251542857977626,,,"Rp588,000"
261,Hotel Mandari,"V3JF+Q98, Jl. Pantai Asri, Banyuasri, Kec. Buleleng, Kabupaten Buleleng, Bali 81119, Indonesia",Buleleng,Buleleng,-8.1180757,115.0734535,Stays,Budget Hotel,City Hotel,4.2,197,https://maps.google.com/?cid=3547918753197144129,,,"Rp380,000"
262,Senetan Villas and Spa Resort,"Banjar Panginyahan, Puhu, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia",Payangan,Gianyar,-8.3727511,115.2647491,Stays,Premium Hotel,Countryside Villa,4.5,162,https://maps.google.com/?cid=6661524639075927626,,,"Rp2,430,000"
263,Legian Beach Hotel,"Jl. Melasti, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7086097,115.1684776,Stays,Premium Hotel,Beachside Hotel,4.4,2422,https://maps.google.com/?cid=11646976453233795947,,,"Rp3,082,556"
264,Bali Golden Elephant,"55Q4+RM9, Jl. Utama, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.8104535,115.1567447,Stays,Standard Hotel, Villa,3.6,151,https://maps.google.com/?cid=8660284131801163639,,,"Rp540,000"
265,BALQUISSE Heritage Hotel,"Jl. Raya Uluwatu No.18X, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.779461,115.1684985,Stays,Premium Hotel,Countryside Hotel,4.5,342,https://maps.google.com/?cid=9828925019182458502,,,"Rp1,620,000"
266,Adhi Jaya Hotel,"Jl. Kartika Plaza, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.729576,115.168526,Stays,Premium Hotel,City Hotel,4.4,1099,https://maps.google.com/?cid=15170122984645666343,,,"Rp1,854,000"
267,ibis Bali Legian Street,"Jl. Raya Legian U No.456, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.6983177,115.1690554,Stays,Standard Hotel,City Hotel,4.2,1008,https://maps.google.com/?cid=17098105036740011885,,,"Rp696,960"
268,Kampi Villas by Premier Hospitality Asia,"Jl. Umalas II No.85, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta Utara,Badung,-8.8330376,115.201262,Stays,High End Hotel, Villa,4.4,59,https://maps.google.com/?cid=13524273910781589066,,,"Rp6,120,000"
269,Inna Sindhu Beach Hotel & Resort,"Jl. Pantai Sindhu No.14, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Denpasar Selatan,Denpasar,-8.6847617,115.2639374,Stays,Standard Hotel,Beachside Resort,4.3,1376,https://maps.google.com/?cid=2804110849947049297,,,"Rp1,197,000"
270,Bintang Kuta Hotel,"Jl. Kartika Plaza, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7338298,115.1670779,Stays,Premium Hotel,City Hotel,4.4,1891,https://maps.google.com/?cid=15632839043658306907,,,"Rp1,530,000"
271,Odika Lovina House and Villas,"Jalan Binaria, Anturan, Buleleng, Buleleng, Bali 81152, Indonesia",Buleleng,Buleleng,-8.155439,115.040714,Stays,Standard Hotel, Villa,4.4,733,https://maps.google.com/?cid=18120320703763296829,,,"Rp1,472,500"
272,Kampung Cenik,"Jl. Dewi Sri, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7029746,115.1787828,Stays,Standard Hotel, Villa,4.4,258,https://maps.google.com/?cid=3145743299158312443,,,"Rp728,333"
273,Ananta Legian Hotel,"Jl. Werkudara No.539, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.6976321,115.1639628,Stays,Standard Hotel,City Hotel,3.9,330,https://maps.google.com/?cid=4800034515647978823,,,"Rp625,050"
274,Bali Mandira Beach Resort & Spa,"Jl. Padma No.2, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7066107,115.1672859,Stays,High End Hotel,Beachside Resort,4.6,2096,https://maps.google.com/?cid=1538044540947656174,,,"Rp5,890,000"
275,Komaneka at Rasa Sayang,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,-8.513312,115.260388,Stays,Premium Hotel,Countryside Resort,4.6,665,https://maps.google.com/?cid=13290117782325192653,,,"Rp2,700,000"
276,Hotel Grand Santhi,"Jl. Patih Jelantik No.1, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia",Denpasar Barat,Denpasar,-8.6685511,115.2162119,Stays,Standard Hotel,City Hotel,4.2,1376,https://maps.google.com/?cid=14834402629116637198,,,"Rp900,000"
277,Grand Mirah Boutique Hotel,"Jl. Kaliasem No.1, Dangin Puri Kauh, Kec. Denpasar Utara, Kota Denpasar, Bali 80232, Indonesia",Denpasar Utara,Denpasar,-8.655401,115.218602,Stays,Standard Hotel,City Hotel,4.4,941,https://maps.google.com/?cid=15962427021236965362,,,"Rp607,500"
278,Ramayana Suites & Resort,"Jl. Bakung Sari, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7248254,115.1718611,Stays,Premium Hotel,Beachside Resort,4.3,1648,https://maps.google.com/?cid=8551494129976154803,,,"Rp1,710,000"
279,Keraton Jimbaran Resort,"Jl. Mrajapati, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.7717555,115.1707742,Stays,Standard Hotel,Beachside Resort,4.3,828,https://maps.google.com/?cid=16935000673725196146,,,"Rp780,079"
280,Inna Bali Heritage Hotel,"Banjar Lelangon, Jl. Veteran No.3, Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80232, Indonesia",Denpasar Utara,Denpasar,-8.6547398,115.2166078,Stays,Standard Hotel,City Hotel,4.3,1831,https://maps.google.com/?cid=3344367897917979880,,,"Rp693,000"
281,Alam Sembuwuk Resort Ubud,"Jl. Raya Pejeng Kawan, Pejeng Kaja, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80551, Indonesia",Tampaksiring,Gianyar,-8.4764642,115.2873256,Stays,Standard Hotel,Countryside Resort,4,428,https://maps.google.com/?cid=615632477061998809,,,"Rp765,000"
282,The Rinaya Canggu by ecommerceloka,"Jalan Raya Canggu, Gang Leli, Tibubeneng, Kuta Utara, Tibubeneng, Badung, Kabupaten Badung, Bali 80361, Indonesia",Kuta Utara,Badung,-8.6434279,115.1553155,Stays,Premium Hotel, Villa,4,154,https://maps.google.com/?cid=7467783276651813185,,,"Rp1,544,013"
283,Hideaway Villas Bali Uluwatu by Kanaan Hospitality,"54GP+2JJ, Jl. Bangbang Bendot, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.8249692,115.1364794,Stays,Premium Hotel, Villa,4.3,577,https://maps.google.com/?cid=6632821523862593953,,,"Rp3,438,000"
284,Melasti Kuta Bungalows and Spa,"Kuta, Badung, Bali, Indonesia",Kuta,Badung,-8.7264137,115.1700855,Stays,Standard Hotel,City Hotel,3.8,669,https://maps.google.com/?cid=13588249534683879264,,,"Rp850,000"
285,Serela Legian by KAGUM Hotels,"Jl. Lb. Bene No.168, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.709521,115.1699877,Stays,Budget Hotel,City Hotel,4.1,999,https://maps.google.com/?cid=1965037235295072507,,,"Rp454,500"
286,Villa Harmony Residence,"85G2+V72, Gg. Merpati, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta Utara,Badung,-8.6728732,115.1506435,Stays,Premium Hotel, Villa,4.3,127,https://maps.google.com/?cid=2231444063939094109,,,"Rp2,940,000"
287,Bali Sandy Resort,"Jl. Pantai Kuta Jl. Poppies Lane II, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7179913,115.1712723,Stays,Standard Hotel,City Hotel,3.8,682,https://maps.google.com/?cid=102925602853707541,,,"Rp1,109,822"
288,Wirton Seminyak Boutique Hotel,"Jl. Bidadari I No. 38, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80361, Indonesia",Denpasar Barat,Denpasar,-8.6830138,115.1743753,Stays,Budget Hotel,City Hotel,4.3,116,https://maps.google.com/?cid=13306495448245614417,,,"Rp468,000"
289,Adi Assri Beach Resort & Spa,"Jl. Seririt-Gilimanuk, Pemuteran, Kec. Gerokgak, Kabupaten Buleleng, Bali 81155, Indonesia",Gerokgak,Buleleng,-8.1448124,114.6600837,Stays,Standard Hotel,Beachside Resort,4.3,931,https://maps.google.com/?cid=13418635446810890005,,,"Rp799,077"
290,Goya Boutique Resort,"Jl. Bisma, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,-8.51202,115.2581302,Stays,High End Hotel,Countryside Resort,4.7,563,https://maps.google.com/?cid=4058011072951319584,,,"Rp6,850,994"
291,Mahagiri Resort Nusa Lembongan,"Banjar Kaja Desa Jungutbatu, Nusa Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia",Banjar,Klungkung,-8.6636389,115.4518255,Stays,Standard Hotel,Beachside Resort,4.2,1533,https://maps.google.com/?cid=3369966912384311280,,,"Rp1,099,156"
292,Yucca Villas,"Gang Ruang II Jl. Dalem Gede, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",Mengwi,Badung,-8.6398112,115.1323115,Stays,High End Hotel,Boutique Villa,4.9,44,https://maps.google.com/?cid=17130926840709208674,,,"Rp5,750,000"
293,Grand La Walon Hotel,"Jl. Benesari, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7121755,115.171791,Stays,Standard Hotel,City Hotel,4.4,681,https://maps.google.com/?cid=3956500986514822105,,,"Rp630,000"
294,Beautiful Bali Villas,"Jl. Padma Tim. No.16, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7048449,115.1729736,Stays,Premium Hotel,Villa,4.6,339,https://maps.google.com/?cid=12902868439481222506,,,"Rp3,120,300"
295,Bali Rani Hotel,"Jl. Kartika Plaza, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.729989,115.168206,Stays,Premium Hotel,City Hotel,4.3,1314,https://maps.google.com/?cid=17814076377742355087,,,"Rp2,250,000"
296,Lasanti Villas and Spa Seminyak,"Jl. Nakula Gg. Baik-Baik No.89, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.6950435,115.172409,Stays,Premium Hotel,Villa,4.5,284,https://maps.google.com/?cid=12812148807813053642,,,"Rp2,936,000"
297,Kuta Central Park Hotel,"Jl. Patih Jelantik, Kuta, Badung, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7103142,115.1793693,Stays,Premium Hotel,City Hotel,4.2,4176,https://maps.google.com/?cid=2599231124543518081,,,"Rp1,794,000"
298,Ubud Hills Villa and Resort,"Banjar Dukuh, Ubud, Tegallalang, Gianyar, Bali 80561, Indonesia",Tegallalang,Gianyar,-8.4657406,115.2793788,Stays,Premium Hotel,Countryside Resort,4,63,https://maps.google.com/?cid=10933637569063912028,,,"Rp4,440,000"
299,Nusa Majesty,"Jl. Nusa Indah No.53, Kutampi Kaler, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia",Nusa Penida,Klungkung,-8.674109,115.5505722,Stays,Standard Hotel,Villa,4.2,102,https://maps.google.com/?cid=2542049320129017903,,,"Rp625,500"
301,Coco De Heaven,"Jl. Bypass Ngurah Rai No.17X, Kedonganan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.7586198,115.1793783,Stays,Budget Hotel,Villa,3.8,877,https://maps.google.com/?cid=6704186373661473778,,,"Rp450,000"
302,Adiwana Dara Ayu Villas,"JL. Raya Buahan, No. 88X, Majangan, Buahan Kaja, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia",Payangan,Gianyar,-8.3614706,115.2437193,Stays,Premium Hotel,Countryside Resort,4.4,266,https://maps.google.com/?cid=5306863783040849378,,,"Rp3,820,431"
303,The Magani Hotel and Spa,"Jl. Melasti, Legian, Kelod, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7087193,115.1700734,Stays,Standard Hotel,City Hotel,4.5,881,https://maps.google.com/?cid=3623221103383772173,,,"Rp1,455,345"
304,Bayad Ubud Bali Villa,"Banjar Bayad, Melinggih Kelod, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia",Payangan,Gianyar,-8.4482429,115.242868,Stays,Premium Hotel,Countryside Villa,4.2,167,https://maps.google.com/?cid=11751617700986509993,,,"Rp1,773,334"
305,Kubu GWK Resort,"Jl. Raya Uluwatu No.111, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.7962369,115.1635877,Stays,Premium Hotel,Villa,4.4,181,https://maps.google.com/?cid=11570169164696080864,,,"Rp1,755,000"
306,"The Lokha Ubud Resort, Villas & Spa","Br, Jl. Bangkiang Sidem Desa, Keliki, Kec. Tegallalang, Kabupaten Gianyar, Bali 80571, Indonesia",Tegallalang,Gianyar,-8.4923642,115.2587863,Stays,Premium Hotel,Countryside Resort,4.5,1118,https://maps.google.com/?cid=2284712730952401756,,,"Rp1,681,569"
307,Wina Holiday Villa Kuta Bali,"Jl. Pantai Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali, Indonesia",Kuta,Badung,-8.7149747,115.1699592,Stays,Standard Hotel,Villa,4.3,1042,https://maps.google.com/?cid=5883833865493598653,,,"Rp917,563"
308,Gending Kedis Luxury Villas & Spa Estate,"Jl. Karang Mas No.100X, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.7888501,115.1554159,Stays,Luxury Hotel,Villa,4.5,279,https://maps.google.com/?cid=1207838459867805862,,,"Rp11,340,000"
309,Plagoo Holiday Hotel,"Jalan Dalem Tarukan No. 7 Taman Mumbul Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.7972902,115.2060304,Stays,Standard Hotel,City Hotel,4.3,1495,https://maps.google.com/?cid=10512381379793563000,,,"Rp669,031"
310,Nesa Sanur,"Jl. Danau Tamblingan No.144, Sanur, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",Denpasar Selatan,Denpasar,-8.6960571,115.2635212,Stays,Standard Hotel,City Hotel,4.3,222,https://maps.google.com/?cid=8550697704733965628,,,"Rp710,285"
311,Hotel Sorga Cottages Kuta,"Jl. Poppies 1, Gg. Sorga No.22, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7183747,115.1718543,Stays,Budget Hotel,City Hotel,4,275,https://maps.google.com/?cid=14834575389662758151,,,"Rp238,621"
312,Argya Santi Resort,"Jl. Jepun No.1, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.7953939,115.1469269,Stays,Standard Hotel,City Hotel,4.4,372,https://maps.google.com/?cid=13299761808059629792,,,"Rp660,000"
313,The Diana Suite Hotel,"Jl. Puri Gerenceng No.46B, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.7400753,115.1715732,Stays,Standard Hotel,Villa,4.3,545,https://maps.google.com/?cid=16872836022247983972,,,"Rp710,775"
314,Rantun's Place,"56F8+QCV, Jl. Raya Nusa Dua Selatan Jl. Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta Selatan,Badung,-8.8255528,115.2159523,Stays,Standard Hotel,Villa,4.2,202,https://maps.google.com/?cid=867933859721467254,,,"Rp836,104"
315,Tropico Jimbaran Bali,"Jl. Goa Gong No.123, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.8042154,115.1780319,Stays,Budget Hotel,City Hotel,4.4,310,https://maps.google.com/?cid=7461068609845361376,,,"Rp323,760"
316,Gana Hotel & Restaurant,"Jl. Raya Pengosekan Ubud, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,-8.5231191,115.263134,Stays,Standard Hotel,Countryside Hotel,4.5,179,https://maps.google.com/?cid=11815575614343833904,,,"Rp1,260,000"
317,Peppers Seminyak,"Jl. Pura Telaga Waja, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia",Kuta Utara,Badung,-8.6812696,115.1544226,Stays,Luxury Hotel,Boutique Villa,4.7,1134,https://maps.google.com/?cid=16096512304014346225,,,"Rp15,246,000"
